Protein	Gene Symbol	# Proteins	Category	10Y_1	10Y_2	4Y_1	4Y_2	1Y_1	1Y_2
P16474	KAR2	1	YEAST	2248410	2299520	1062590	1044610	257777	264702
P16520	GNB3	1	HUMAN	100595	102667	101341	101902	61277.5	49637.5
P16521	YEF3	1	YEAST	2846670	2690640	1325150	1263480	288481	285691
P16547	OM45	1	YEAST	6282.25	6245.9	3043.14	4455.81		927.575
P16550	APA1	1	YEAST	239947	244387	103267	108216	22436.8	22716.2
P16591	FER	1	HUMAN	20983.7	19543.1	14038.4	19061.3	21302.5	22292.1
P16603	NCP1	1	YEAST	191286	189544	78750.3	77282	18366	18359.9
P16615	ATP2A2	1	HUMAN	79808.6	78118.6	98792.3	92768	77563.5	80382.2
P16622	HEM15	1	YEAST	48266.9	45870.9	21123.5	21123	6040.49	6566.68
P16639	ATE1	1	YEAST	4923.63	5071.31	3694.93	4028.97		
P16649	TUP1	1	YEAST	96815.1	91367.5	45139.4	42464.1	10389.5	11531.5
P16661	ALG1	1	YEAST	6646.16	4284.19	2653.91	1798.57		315.06
P16861	PFK1	1	YEAST	797322	805864	363719	347907	76185.9	80187.7
P16862	PFK2	1	YEAST	966770	876460	408735	410343	102642	102140
P16870	CPE	1	HUMAN	6314.04	7363.49	5734.93	4077.78	7123.37	6531.96
P16885	PLCG2	1	HUMAN	17650.4	19337.8	19313.9	18074	17293.3	17641.9
P16930	FAH	1	HUMAN	42849.3	40111.9	50364.4	51403.4	41604.9	44767.4
P16949	STMN1	1	HUMAN	787921	744832	972511	907606	776012	750463
P16965	STF2	1	YEAST	1744.25	1934.19	1168.96		2348.31	
P16989	YBX3	1	HUMAN	141007	118782	161731	158493	185648	173011
P17026	ZNF22	1	HUMAN	6580.09	6379.42	6964.73	9691.18	9880.36	13566.5
P17028	ZNF24	1	HUMAN	18532.3	17086	23300.2	22530	21675.4	21875.1
P17029	ZKSCAN1	1	HUMAN	4242.86	3340.4	2100.41	3707.08	4821.55	3588.92
P17065	SEC2	1	YEAST	7408.23	4596.7	2791.06	4031	5566.72	
P17066	HSPA6	1	HUMAN	1080760	797324	1156990	1116850	602045	750955
P17076	RPL8A	1	YEAST	166392	166386	79845.5	79372.2	28442.6	18511
P17096	HMGA1	1	HUMAN	37315.4	36687.8	43732.7	37718.3	39480.6	24355.5
P17097	ZNF7	1	HUMAN	5673.98		2710.36	2628.92	1325.39	1794.31
P17098	ZNF8	1	HUMAN	9280.95	7757.42	8890.83	10494.3	7944.02	9479.29
P17106	CBF1	1	YEAST	32821.2	31046.3	14214.7	14924.5	3553.49	4225.82
P17121	SAC7	1	YEAST	3483.48	2928.16	1345.99	2293.99		817.301
P17152	TMEM11	1	HUMAN	3548.8	2030.35	4347.37	6035.91	2261.1	2456.93
P17157	PHO85	1	YEAST	34574.5	33375.1	15989.4	18462.7	4661.03	5217.17
P17174	GOT1	1	HUMAN	256292	229405	278370	269048	256255	244709
P17214	EST1	1	YEAST	87807.6	149316	75580.8	94051.4		
P17252	PRKCA	1	HUMAN	11813.9	7287.64	14324.7	10612.7	10829.8	8450.1
P17255	VMA1	1	YEAST	1117590	1078610	519703	487653	112435	111685
P17301	ITGA2	1	HUMAN	4483.53	4155.7	4262.13	3702	4564.19	2931.91
P17405	SMPD1	1	HUMAN	3288.43	3418.23	2563.76	5431.64	3144.42	2496.72
P17423	THR1	1	YEAST	321539	329081	130525	138223	29509	29734.7
P17442	PHO81	1	YEAST	26138.4	26961	17968.2	15657.1	4038.52	5878.31
P17480	UBTF	1	HUMAN	74828.8	68121.2	85195.7	90912.5	83930.3	77859.7
P17482	HOXB9	1	HUMAN	9028.19	7700.08	14684.4	14081.8	8255.83	10024.2
P17505	MDH1	1	YEAST	377067	372291	167153	176658	48644.3	43316.3
P17509	HOXB6	1	HUMAN	4478.28	4839.08	4144.4	8161.37	6488.37	5827.53
P17536	TPM1	1	YEAST	277981	251365	146644	136935	28060.2	30128.9
P17540	CKMT2	1	HUMAN	14042.1	10977.9	11657.4	8442.22	16948.3	15806.3
P17544	ATF7	1	HUMAN	2768.39	1783.08	2032.09	3084.09	2292.39	2899.28
P17555	SRV2	1	YEAST	151417	151568	65036.9	60405.3	13314.5	13390.5
P17558	PET123	1	YEAST	10129.2	10406.5	4934.74	4104.22		
P17568	NDUFB7	1	HUMAN	1432.45	1240.5	1243.2	999.191	850.409	1054.71
P17612	PRKACA	1	HUMAN	68639.4	55004.9	59104.3	57479.7	57842.7	52347.9
P17629	HPR1	1	YEAST	25604.2	16674.1	13839.7	13734.2	5205.36	5158.3
P17649	UGA1	1	YEAST	33437.8	29990.6	14677.6	13851.3	3942.83	6267.49
P17655	CAPN2	1	HUMAN	50157.6	43769.6	52214.7	45827.9	49353.8	48888
P17676	CEBPB	1	HUMAN			155.351	324.548	138.496	430.591
P17677	GAP43	1	HUMAN	1219.12	864.295	1093.97	978.008	563.464	1436.21
P17693	HLA-G	1	HUMAN	13735.3	6818.5	13398.9	13716	13918.6	10320.4
P17695	GRX2	1	YEAST	100325	89467.8	41909.7	38789.4	6382.46	8122.8
P17706	PTPN2	1	HUMAN	16194.4	15869	17000.7	14905.6	18908.7	18635.4
P17709	GLK1	1	YEAST	214691	224957	86289.9	85320.3	20134.4	18110.9
P17812	CTPS1	1	HUMAN	172562	157662	194807	202411	194947	189584
P17844	DDX5	1	HUMAN	1071830	975158	1140680	1178270	1115680	1087770
P17858	PFKL	1	HUMAN	72832.6	67848.1	77337.3	80412.6	95506.2	90463.3
P17883	SKI3	1	YEAST	40926.3	38223.8	18755.2	18996.1	6354.4	5628.3
P17890	RPC31	1	YEAST	4734.72	5778.05	2146.39	2603.88	696.045	670.589
P17891	CLC1	1	YEAST	216488	177710	77011.8	93098.4	16531.9	19428.1
P17900	GM2A	1	HUMAN	17669.3	20699.5	20251.4	19199.9	12937.4	12362.5
P17931	LGALS3	1	HUMAN	3062.6	5815.16	1170.08	1406.28	2785.84	3951.08
P17967	PDI1	1	YEAST	684944	662050	305014	307535	69483.6	66862.8
P17980	PSMC3	1	HUMAN	669893	655010	672069	672526	645903	635844
P17987	TCP1	1	HUMAN	699951	680865	769001	786748	716125	732557
P18031	PTPN1	1	HUMAN	29141.6	30617.3	37092.5	35637.1	39109.9	38926.7
P18074	ERCC2	1	HUMAN	29037.8	26320.9	27105.1	26196.4	27506.7	25607.3
P18075	BMP7	1	HUMAN			7204.82		10148.8	10841.8
P18077	RPL35A	1	HUMAN	315370	378456	380089	349207	165037	156561
P18085	ARF4	1	HUMAN	404932	389789	460838	414050	500411	516669
P18124	RPL7	1	HUMAN	1098050	1117420	1147250	1157680	1060870	1000670
P18206	VCL	1	HUMAN	242041	224059	260411	254436	237833	233898
P18238	AAC3	1	YEAST	85164.7		31899.7	32710.7	10944.7	10276
P18239	PET9	1	YEAST	218475	212573	91177.5	92115.9	21736.4	22835.8
P18414	ERD2	1	YEAST	13270.6	16617	9158.63	8185.76		
P18433	PTPRA	1	HUMAN	5976.93	7207.67	11711.7	9634.23	9221.34	6779.18
P18440	NAT1	1	HUMAN	10568.7	10312.9	11838.1	11395.3	11744.3	10813.8
P18480	SNF5	1	YEAST	11491	11632.2	7812.55	6549.55		1167.34
P18544	ARG8	1	YEAST	3097.23	4356.26	2872.1	2299.12		
P18562	FUR1	1	YEAST	404797	405415	182963	172058	38523.5	39084.1
P18583	SON	1	HUMAN	22344.1	20566.8	25389.3	24365.2	20108.1	21546.5
P18615	NELFE	1	HUMAN	82344.1	71636.2	113761	102158	103742	103098
P18621	RPL17	1	HUMAN	505829	538248	713826	750904	707332	705307
P18669	PGAM1	1	HUMAN	1590890	1528440	1795920	1899570	1824100	1810570
P18754	RCC1	1	HUMAN	245260	260586	322622	329379	330096	336673
P18759	SEC18	1	YEAST	100618	96232.7	43561.9	47155.6	12725.3	11959.1
P18827	SDC1	1	HUMAN	2684.43	4431.89	2717.03	3634.06	3592.56	4783.61
P18846	ATF1	1	HUMAN	30750.8	32374.6	33244.6	32430.4	20842.5	22039.4
P18847	ATF3	1	HUMAN	5865.63	5336.04	8674.4	7736.25	6438.66	5522.71
P18850	ATF6	1	HUMAN	986.858	383.372	1312.72	943.403	1047.92	1264.8
P18858	LIG1	1	HUMAN	20544.6	19287.1	24794.2	22913.7	21580.9	22041.2
P18859	ATP5PF	1	HUMAN	7516.79	7645.47	8375.06	10092.7	3080.22	3474.53
P18887	XRCC1	1	HUMAN	43340	38666.2	45869.8	48360.9	38813.2	41139.3
P18888	SNF6	1	YEAST	6126.69	4624.5	4915.35	2435.26		
P18899	DDR48	1	YEAST	151390	108734	63685	84466.2	23046	17176.7
P18900	COQ1	1	YEAST	34357.9	27781.8	15730.5	17869	4668.06	5845.56
P18961	YPK2	1	YEAST	702735	786449	619807	277373	183510	211691
P18962	DAP2	1	YEAST	16505.6	12726.7	6251.19	6723.49	5172.74	1993.19
P18963	IRA1	1	YEAST	46277.9	51901.1	22528.9	26276.3	7679.6	6646.76
P19022	CDH2	1	HUMAN	12547.8	10172	14296.3	12805.1	11820.6	14441
P19073	CDC42	1	YEAST	46872.6	51670.9	23664.6	20889.2	6688.82	7032.9
P19097	FAS2	1	YEAST	536628	515044	220682	222315	50163.3	52267.5
P19146	ARF2	1	YEAST	42236.4	45409	16564.4	17763.4	7499.41	7261.08
P19158	IRA2	1	YEAST	32240.4	30311.5	19129.3	16259.1	4228.63	5819.12
P19174	PLCG1	1	HUMAN	47842.8	39774.9	44432.7	47983.8	48877.1	49182.6
P19211	ANB1	1	YEAST	697979	910106	586083	687339	151599	363976
P19262	KGD2	1	YEAST	66142.2	67234.1	22046	27735.7	5643.61	7027.45
P19263	RGR1	1	YEAST	15747.3	16803.3	6499.43	8157	1557.51	1824.01
P19338	NCL	1	HUMAN	1382090	1203260	1581420	1501770	1170210	1183000
P19358	SAM2	1	YEAST	257743	221318	114043	103083	23226.8	21503.2
P19367	HK1	1	HUMAN	126653	118954	136316	139403	134047	132186
P19387	POLR2C	1	HUMAN	33306.5	35086.2	38032.3	37297.8	37618.8	36945.5
P19388	POLR2E	1	HUMAN	65377.7	55520.6	63501.3	59791.8	60501.8	67425.1
P19404	NDUFV2	1	HUMAN	40862.4	26323.7	43983.9	46809.5	36759	39995.4
P19414	ACO1	1	YEAST	202446	208429	89571.5	89203.4	21659.7	22928.5
P19419	ELK1	1	HUMAN	2618.34		2972.81	1878.48	2073.95	2981.25
P19447	ERCC3	1	HUMAN	10470.1	10701.4	12452.7	11851.2	12766.4	11906.4
P19454	CKA2	1	YEAST	37491.2	37030.6	14774.5	13620.2	6601.84	4921.49
P19474	TRIM21	1	HUMAN	5099.45	5024.4	4759.21	6860.82	7011.31	6250.04
P19516	COX11	1	YEAST	7664.12	11104.4				2377.85
P19524	MYO2	1	YEAST	48618	41449.7	20299.4	19075.9	5074.55	5231.67
P19525	EIF2AK2	1	HUMAN	33342.2	33946.3	35749.8	32477.1	30961.4	32522.2
P19541	RDS2	1	YEAST	238257	283480	205266	91095.8	39133.1	26845.9
P19622	EN2	1	HUMAN		552.357		489.979	863.377	963.653
P19623	SRM	1	HUMAN	541708	503685	565383	604536	607913	606601
P19634	SLC9A1	1	HUMAN	10616.8		17551.5	17218	16751.4	16127.2
P19658	EXO70	1	YEAST	3632.49	3113	1661.48	2049.44	285.291	304.821
P19659	GAL11	1	YEAST	143601	154063	110204	86406.8	21431.3	32565.7
P19784	CSNK2A2	1	HUMAN	114917	99204.6	127189	121148	157147	165738
P19793	RXRA	1	HUMAN	48557.1	41632.7	56128.3	39858.3	37670.6	41587.7
P19812	UBR1	1	YEAST	27942.4	24881.2	13229.7	15226	4953.4	4368.45
P19823	ITIH2	1	HUMAN	25912	15950.8	21679.4	25187.8	20789.5	23509.7
P19838	NFKB1	1	HUMAN	59437.8	54521.4	65800.4	67652.3	66281.6	59102
P19876	CXCL3	1	HUMAN	1293.66	1757.54	2829.21	3128.01	1627.73	1862.52
P19880	YAP1	1	YEAST	13548.9	11644.8	7137.8	6137.8	2028.23	718.895
P19881	PHO13	1	YEAST	91201.4	93339.4	40229.9	37759.6	9645.35	10403.7
P19882	HSP60	1	YEAST	1428410	1370900	615366	602948	132705	134374
P19955	YMR31	1	YEAST	8318.45	4120.68	1723.08	3958.25	1562.82	
P20020	ATP2B1	1	HUMAN	50970.7	49427.6	48274.9	51778.1	47800.2	46274.1
P20042	EIF2S2	1	HUMAN	150676	151242	161067	160730	145614	138275
P20049	TYR1	1	YEAST	31046.9	26840.8	14254.1	16697.9	6178.56	6002.47
P20051	URA4	1	YEAST	204591	181209	92903.5	85404	20394.5	19965.6
P20073	ANXA7	1	HUMAN	98105.5	96177.4	95456.9	98182.5	89426.3	87790.8
P20081	FPR1	1	YEAST	1234980	1273700	578516	517644	50925.5	86957.8
P20084	MRPL33	1	YEAST	3957.3	4802.19	3479.79	1811.04	626.989	
P20107	ZRC1	1	YEAST	87016.1	81203.1	41236.2	41647.7	10325	9263.99
P20133	BET2	1	YEAST	7098.38	5367.67	4649.51	2904.66	955.067	1151.61
P20226	TBP	1	HUMAN	11083.3	10162.6	7932.9	10390.3	11464.6	9783.64
P20248	CCNA2	1	HUMAN	34597.8	34056.9	31763	36705.1	34231.8	26826.5
P20265	POU3F2	1	HUMAN	5323.26	5312.89	6644.15	4149.13	6145.38	7317.91
P20290	BTF3	1	HUMAN	136089	107251	153592	149771	145888	147260
P20336	RAB3A	1	HUMAN	6825.14	7767.43	8465.84	9876.64	7947.87	8779
P20337	RAB3B	1	HUMAN	19910.9	22876.9	18414	25157.8	26085.4	30185.3
P20338	RAB4A	1	HUMAN	33532.6	31726.7	40222.6	41380	37331	37565.6
P20339	RAB5A	1	HUMAN	217681	249209	198453	230313	246734	283438
P20340	RAB6A	1	HUMAN	71199.3	60868.2	68282	76144.4	91653.4	85685.6
P20424	SRP54	1	YEAST	124234	116944	59434	52138.8	13089.7	13429.8
P20433	RPB4	1	YEAST	57099.8	53954.1	29543	25259.5	7665.64	7037.21
P20434	RPB5	1	YEAST	114475	85845.7	44807.1	46225.3	11760.4	14017.1
P20435	RPO26	1	YEAST	96760.5	106624	58656.5	58057.4	9581.74	9528.24
P20436	RPB8	1	YEAST	62047.5	61614.7	26113.4	26565.3	7101.89	8456.4
P20447	DBP3	1	YEAST	70845.4	65506	34071.1	34677.5	8109.03	10111.8
P20448	HCA4	1	YEAST	36115.4	35711	13287.8	16287.6	4803.39	3883.74
P20449	DBP5	1	YEAST	170793	154397	70310.2	70902.2	16556	18119.5
P20457	PRI2	1	YEAST	18366.3	13842.3	7540.15	6942.08	2035.24	2772.94
P20459	SUI2	1	YEAST	419612	438717	166914	167032	33722.3	33064.2
P20484	MAK11	1	YEAST	36988.1	25566.2	14226.5	17882.4	4937.02	5416.81
P20485	CKI1	1	YEAST	41103.6	39342.8	19164.6	16787.4	5757.11	4850.49
P20585	MSH3	1	HUMAN	110374	106832	125310	108621	106992	100992
P20604	SIT4	1	YEAST	16448	17697.4	9004.77	9533.96	1292.98	3054.79
P20606	SAR1	1	YEAST	731434	720905	289736	272301	64754.4	66955.5
P20618	PSMB1	1	HUMAN	288106	270963	272004	287085	274660	274869
P20645	M6PR	1	HUMAN	55451.3	53817.1	71323.3	55924.5	62941	64818
P20648	ATP4A	1	HUMAN	67589.2	62447.4	64505.2	69238.7	83025.8	82652.8
P20674	COX5A	1	HUMAN	35620.6	36527.4	37742.2	36260.6	28089.3	26911.6
P20676	NUP1	1	YEAST	24288	22045.9	11600.8	9999.45	4370.02	4530.83
P20700	LMNB1	1	HUMAN	10760.5	10833.4	14301.7	13122.4	14922.7	14703.1
P20742	PZP	1	HUMAN	2169.17	1627.3	1811.88	3484.99	1408.11	1592.34
P20795	VPS33	1	YEAST	4111.32	2485.18		2356.01		
P20810	CAST	1	HUMAN	52785.3	45644.3	60391.4	59738.9	56723.7	53317.4
P20839	IMPDH1	1	HUMAN	233967	221783	270387	259988	238532	239548
P20933	AGA	1	HUMAN	5947.67	10245	5687.03	8007.66	8326.28	8817.16
P20936	RASA1	1	HUMAN	14837.4	16255.1	16130.5	17051.5	17135.1	16326.1
P20962	PTMS	1	HUMAN	173223	176208	258882	257300	144637	157730
P20967	KGD1	1	YEAST	82630.5	79121.7	39633.5	38489.5	10680.3	11100.1
P21108	PRPS1L1	1	HUMAN	381203	385329	400736	364074	355290	354546
P21127	CDK11B	1	HUMAN	50713.9	42259.4	45522.1	45133.5	41604.3	36390.5
P21147	OLE1	1	YEAST	63019.6	68933.5	21597.3	21331.6	5982.84	6024.81
P21151	fadA	1	ECOLI	23339	32764.4	29584.8	26612.8	27719.8	44391
P21182	SPE2	1	YEAST	4021.4	5042.66	2392.02	2395.14	838.245	
P21242	PRE10	1	YEAST	139514	124443	56986.8	59212.6	13329.6	15490.9
P21243	SCL1	1	YEAST	827003	667216	320833	353073	94070.2	80704.1
P21264	ADE2	1	YEAST	113965	112187	45582.8	48052.2	13008.1	12848.9
P21266	GSTM3	1	HUMAN	132874	117767	134687	137440	134588	127041
P21269	CCA1	1	YEAST	22450.6	19590.7	6712.59	6419.27	3949.95	2382.72
P21281	ATP6V1B2	1	HUMAN	280417	281372	310608	300647	318808	312140
P21283	ATP6V1C1	1	HUMAN	48626.2	50275	55472.5	56770.1	48271.3	48968.9
P21304	PWP1	1	YEAST	112444	96794.2	49500	50684.4	13064	11011.7
P21306	ATP15	1	YEAST	3408.27	3097.36		1443.33		
P21333	FLNA	1	HUMAN	259749	245781	285675	283997	295590	297017
P21359	NF1	1	HUMAN	10039.6	9969.47	11000.9	12076.2	11223.2	10965.2
P21373	UTR1	1	YEAST	17235.3	15077.7	7590.48	8224.78		
P21374	ISY1	1	YEAST	2213.35	2988.6	1278.93	2807.22		
P21375	OSM1	1	YEAST	49964.1	42670	18761.9	22736.2	4741.77	4864.95
P21399	ACO1	1	HUMAN	116515	117938	131810	135931	134654	138145
P21524	RNR1	1	YEAST	205533	167994	81738.1	83585.3	18857.1	21621.4
P21538	REB1	1	YEAST	15982.6	15495.5	9766.96	8258.84	4969.81	3177.02
P21560	CBP3	1	YEAST	8918.99	9408.75	6181.63	4527.27		
P21576	VPS1	1	YEAST	164611	153735	73440.6	68242.5	19472.9	19761.5
P21579	SYT1	1	HUMAN	2161.61	3610.23	947.377	2684.79	2359.61	2226.72
P21580	TNFAIP3	1	HUMAN	39091.8	31305.9	30212	37372.5	24489.7	26645.4
P21672	RNR3	1	YEAST	72145.5	73429.3	28040.5	26437.9	8084.49	6239.53
P21675	TAF1	1	HUMAN	647.574	374.285	215.324	207.14	369.992	977.912
P21734	UBC1	1	YEAST	79009.4	84925.5	38875.9	34641.4	7994.4	8904.58
P21771	MRPS28	1	YEAST	4396.83	3680.41	907.137	1219.71	1086.17	
P21796	VDAC1	1	HUMAN	51694.3	56182.7	56297.3	57097.3	55462.4	54671.8
P21801	SDH2	1	YEAST	2533.62	2335.34	1389.29			614.665
P21825	SEC62	1	YEAST	41693.8	47254.8	18330.6	12352.8	4047.58	4908.37
P21827	SRM1	1	YEAST	74489.9	70981.3	30383.3	26643.1	5964.52	6446.57
P21912	SDHB	1	HUMAN	34245.9	37445	45071.6	45511.4	41661	44496.4
P21926	CD9	1	HUMAN	6986.74	7268.4	6516.76	6026.9	8076.48	8037.08
P21951	POL2	1	YEAST	16605.5	15627.4	8307	8759.79	1214.7	1282.93
P21953	BCKDHB	1	HUMAN	33740.6	32664.7	41868.7	36087.7	35048.8	32604.1
P21954	IDP1	1	YEAST	286483	268127	124938	123335	33135.2	26816.3
P21964	COMT	1	HUMAN	78788.2	75725.7	110976	116797	127121	121504
P21965	MCK1	1	YEAST	118868	118530	52960.4	50904.6	14902.2	15274.6
P21980	TGM2	1	HUMAN	6841.09	7170.79	5566.24	7781.6	7438.72	7847.79
P22007	RAM1	1	YEAST	7114.25	8549.01	5638.67	5725.78	2057.02	4620.16
P22023	KRE5	1	YEAST	65410.2	62699.4	38324.4	39861.1	18989.9	5857.81
P22033	MMUT	1	HUMAN	59054.5	54610.1	58268.5	55941.6	58226.9	59642.8
P22059	OSBP	1	HUMAN	48232	48765.5	48975.5	51940	51069.2	50749.7
P22061	PCMT1	1	HUMAN	465769	443825	512785	531452	603052	601078
P22082	SNF2	1	YEAST	2078.05	2021.25	1089.48	844.528		
P22087	FBL	1	HUMAN	26029.5	24187.1	31198.3	34106.2	30342.1	34028.8
P22090	RPS4Y1	1	HUMAN	469762	434267	547943	549507	384203	359314
P22102	GART	1	HUMAN	539548	542388	618818	598388	587871	569552
P22108	APA2	1	YEAST	2898.87	9406.11	1654.32	3491.44	970.133	
P22133	MDH2	1	YEAST	24985.1	26149.1	7965.73	10413.9	1249.05	2095.6
P22134	MAG1	1	YEAST	4705.51	6541.53	1714.97	2111.21		
P22135	ATP12	1	YEAST	4960.69	2557.99	2095.46	2852.77	615.503	
P22137	CHC1	1	YEAST	305751	289875	127456	127184	29001.1	31657.4
P22138	RPA135	1	YEAST	67313.2	60591.3	28296.2	26592.5	7098.24	7334.69
P22139	RPB10	1	YEAST	11310	11464.7	11728.1	7631.6	2536.51	2589.1
P22141	PRE1	1	YEAST	112198	95545.4	46446.3	46824.7	12709	9581.93
P22146	GAS1	1	YEAST	301935	275433	137157	127740	31031.9	33718.8
P22147	XRN1	1	YEAST	119330	114375	44477.6	47481	13006.1	13328.7
P22202	SSA4	1	YEAST	699057	790473	308280	331354	88039.9	77160.4
P22203	VMA4	1	YEAST	725526	706780	309244	328408	71620.8	71842.4
P22204	DBF2	1	YEAST	12799.1	14272.9	3395.78	4885.05		
P22211	NPR1	1	YEAST	4481.01	4451.36	2876.54	2266.18	1097.35	514.667
P22213	SLY1	1	YEAST	39414.4	35154.1	12795	13785.1	2968.83	3746.09
P22214	SEC22	1	YEAST	35708.7	29416.2	11508.7	12355.1	2543.59	
P22216	RAD53	1	YEAST	130232	202435	116017	66537	27990.8	30883.6
P22217	TRX1	1	YEAST	592101	552448	345478	344334	62038.2	61073.6
P22219	VPS15	1	YEAST	4659.31	2858.53	1901.43	1415.21		525.452
P22224	SEC15	1	YEAST	12526.6	9428.44	5342.12	6207.32	1024.26	2824.16
P22234	PAICS	1	HUMAN	702707	623549	776330	740368	636315	619630
P22276	RET1	1	YEAST	31453.5	23732.9	13381.6	12327	4241.39	6697.74
P22304	IDS	1	HUMAN	4679.03	3834.73		7063.07	10920.7	12497.2
P22307	SCP2	1	HUMAN	131774	118315	131189	138630	125517	117329
P22314	UBA1	1	HUMAN	814168	752649	930382	942547	805434	818845
P22336	RFA1	1	YEAST	72516.9	55742.3	25973.9	30455.4	9169.55	9507.44
P22352	GPX3	1	HUMAN	1359.41		323.784	774.695	991.092	552.749
P22353	MRPL8	1	YEAST	5039.01	5277.13	2659.5	2909.95		
P22392	NME2	1	HUMAN	1800530	1549550	1773790	1846870	1830250	1826950
P22413	ENPP1	1	HUMAN	10115.1	8574.59	8464.85	9310.1	7539.62	9012.27
P22415	USF1	1	HUMAN				549.997	273.941	
P22470	SAN1	1	YEAST	6066.15	7828.91	3256.31	2619.45	616.885	805.103
P22492	H1-6	1	HUMAN	591974	557244	1040580	1280160	638029	590398
P22515	UBA1	1	YEAST	780653	748108	325107	313828	67240.2	71095.1
P22516	CHL1	1	YEAST	60971.6	68586.1	24869.6	24379.7		
P22517	CMK2	1	YEAST	32690.9	30005.8	13004.7	12862.7	8528.07	6397.45
P22543	VPS34	1	YEAST	2549.03	858.588	1373.66	642.789	562.487	
P22570	FDXR	1	HUMAN	41265.6	44600.4	42975.3	43844.8	44192.8	46564.4
P22579	SIN3	1	YEAST	32539.8	30539.6	14886.7	14443.4	4050.25	6510.79
P22612	PRKACG	1	HUMAN			10231.6	9055.01	11695.4	12471.1
P22626	HNRNPA2B1	1	HUMAN	1037580	899737	1221740	1170630	1116420	1133010
P22670	RFX1	1	HUMAN	12341.2	11145.3	10830.8	9739.09	10471.2	10577.2
P22681	CBL	1	HUMAN	29837	29047	32897.4	31982.3	28224.1	27010.1
P22694	PRKACB	1	HUMAN	54865.6	58146.9	58272.8	56650.8	51833.2	58790.8
P22695	UQCRC2	1	HUMAN	9418.89	10211.9	11192.1	9790.03	11866.5	12424.7
P22696	ESS1	1	YEAST	42166.1	47202.7	20869	21884.3	7337.26	5567.5
P22768	ARG1	1	YEAST	43945.7	46395.8	18427	20000	4853.88	4853.1
P22803	TRX2	1	YEAST	1138530	1188600	565978	558096	115492	116666
P22804	BET1	1	YEAST	14558.8	10766.4	6642.3	8573.52	3451.41	3539.75
P22830	FECH	1	HUMAN	66217.8	53538.2	61566.8	74987.3	64684.1	68547.9
P22936	APN1	1	YEAST	21141.1	16426.7	7460.42	7884.65	3810.56	4179.95
P22943	HSP12	1	YEAST	30953.1	29088.4	13211	17675.6	3544.54	2868.89
P23025	XPA	1	HUMAN	13461.7	8511.12	11707.9	14298.6	13858.2	15940.2
P23142	FBLN1	1	HUMAN			274.062		1241.36	2038.06
P23180	AIM17	1	YEAST	11902.7	10142.9	6649.1	4993.4	1533.76	2024.6
P23193	TCEA1	1	HUMAN	228203	216604	245526	252735	243529	225355
P23201	SPA2	1	YEAST	109599	110321	43050.8	53870.5	14868	15038.7
P23202	URE2	1	YEAST	35156.1	25959.6	13014.9	11685.2	2356.32	3001.87
P23229	ITGA6	1	HUMAN	5217.08	3665.79	4188.05	3104.72	4415.1	3728.23
P23246	SFPQ	1	HUMAN	489364	436528	534301	543481	526950	518786
P23248	RPS1B	1	YEAST	2342560	2249890	1102710	1104040	260446	256214
P23254	TKL1	1	YEAST	1532740	1347180	658349	643285	152732	151151
P23255	TAF2	1	YEAST	9012.87	6202.24	2706.97	3756.3	2231.3	631.133
P23258	TUBG1	1	HUMAN	50202.8	55127.7	58566.2	61588	61130.5	58124.6
P23284	PPIB	1	HUMAN	1266400	1304730	1423130	1395720	1186490	1058760
P23287	CNA1	1	YEAST	22605.8	20195.1	7760.42	10374.2	1170.04	2804.51
P23291	YCK1	1	YEAST	40921.6	33464.3	17984.3	18504.4	5553.01	5706.5
P23292	YCK2	1	YEAST	23610.9	20028.7	7977.21	10545.9	2575.38	2475
P23293	SGV1	1	YEAST	16465.3	17954.6	8853.55	8528.18	3074.72	1723.7
P23301	HYP2	1	YEAST	409866	372753	220236	220957	62950.2	56282.5
P23337	GSY1	1	YEAST	11506.9	5988.41	6431.96	5974.75		3965.26
P23352	ANOS1	1	HUMAN	82505.8	75305.9	105199	91037.6	71141.8	75974
P23368	ME2	1	HUMAN	71900.6	66608.5	77603.5	75039.3	77247.2	75444.3
P23369	MRPL25	1	YEAST	10724.4	5648.32	4974.2	4914.55		
P23378	GLDC	1	HUMAN	48248.9	52358.4	57141.8	60067.6	53698.5	52944.6
P23381	WARS1	1	HUMAN	163046	158011	160097	164553	164349	166357
P23394	PRP28	1	YEAST	6713.84	4660.63	2434.76	1898.95		
P23396	RPS3	1	HUMAN	1551400	1517790	1641240	1644890	1400550	1319600
P23434	GCSH	1	HUMAN	133809	130214	158435	149511	118828	153399
P23443	RPS6KB1	1	HUMAN	24285.6	24378.3	26242.5	22871	22645.3	23955.3
P23458	JAK1	1	HUMAN	42626.8	41468	39539.3	30194	39193.5	41958.2
P23468	PTPRD	1	HUMAN	54447	47580.1	62359.1	53217.8	62393	61452.5
P23470	PTPRG	1	HUMAN	233256	259612	260825	132316	263352	334115
P23497	SP100	1	HUMAN	25377.5	27282.1	33471.5	33731	36577.5	35024.3
P23500	MRS4	1	YEAST	9185.66	6479.56	4916.32	6194.03		
P23503	NAR1	1	YEAST	9865.42	9204.79		4758.82	5819.34	
P23508	MCC	1	HUMAN	1560.15	1819.45	1720.29	2036.59	1128.94	1197.53
P23511	NFYA	1	HUMAN	4745.9	5663.1	3624.33	4748.88	2730.69	3238.18
