Protein	10Y_1	10Y_2	4Y_1	4Y_2	1Y_1	1Y_2
P00830	539344	518003	214051	227732	48939.2	50126.1
P00846	8829.51	8431.65	8856.76	8889.61	10321.8	11918.4
P00890	138962	134092	50224.1	51813.8	12084.2	14467.3
P00899	171882	146878	72802.3	69492.7	17740.4	19465.5
P00918	743880	669631	795746	796799	710785	770162
P00924	9484440	8943410	4301100	4404090	1090650	1131550
P00925	9899390	9434450	4729920	4641230	1143780	1108300
P00927	119202	125635	49333.9	48025.9	10695.5	11008.7
P00931	229590	230385	105502	97948.6	21721.5	21043.3
P00937	71823.2	72854.6	29630.3	30475.8	7509.09	11834.1
P00942	2218330	2155790	1213610	1267550	294308	272262
P00950	8229770	8376700	4499870	4258410	907791	971673
P00958	324249	308743	138244	132470	31071.8	32997.4
P00966	52562.2	43963.8	50013.2	50270	47548.9	43601.2
P01008	7661.18	7650.87	6339.86	12056.6	8762.7	4026.46
P01023	29690.7	25908.5	39398.7	39190.9	30061.6	31696.9
P01024	10311.6	8207.14	11190.4	13602.6	15103.5	13591.4
P01033	2434.89	3105.61	2737.09		1555.06	1805.27
P01034	5282.72	3609.41	3718.98	2382.75	3416	1938.53
P01040	18936.2	19631	9846.45	10761.1	15688.7	14599.3
P01098					3400.38	
P01111	61741.8	70339	83553.6	71496.9	84671.8	74466.8
P01112	11100	15036.9	11641.6	14611.8	6017.61	7437.83
P01119	26343.8	29189.8	17664.2	11952	3795.97	4361.1
P01120	55668.6	51864.3	24561	22641.2	5230.51	6744.32
P01123	431188	386726	167322	163695	39620.8	35247.9
P01130	5445.14	3114.17	6555.61	3887.71	3569.51	3435.03
P01137	5461.06	5236.69	7809.6	6741.73	7756.1	7185.45
P01834	339.824	215.505	151.395	196.116	822.136	200.613
P01857			1302.52	680.796	2631.24	1489.85
P01889	8687.75	8676.2	10090.8	8613.94	10794.4	11091.6
P02042	16801.4	10740	12117.2	10783.3	12852.3	14785.9
P02294	2334410	1986010	1382670	1211150	418598	383626
P02309	2798720	2790170	1225160	1201590	310907	292424
P02381	3376.72	2899.32	1727.48	1280.74	748.053	1819.29
P02400	2943320	2968100	1757090	1746030	394044	396630
P02406	3734490	3132550	2081910	2032370	476943	491722
P02407	2788640	2499390	1420660	1398940	337035	326016
P02462	4309.84	2031.03	1525.87	718.393	893.429	1507.71
