Protein	10Y_1	10Y_2	4Y_1	4Y_2	1Y_1	1Y_2
P15367	15193.8	11047.7	3713.04	4159.11	1154.37	1765.57
P15424	28543.9	24845.3	14467.8	12925.7	7243.27	5046.77
P15436	10816	17736.3	11749.7	8444.91		
P15442	4349.59	5347	2392.3	3575.39		
P15454	621883	539926	230861	260129	51150.5	54003.7
P15496	87853	77225.2	42487.8	42973.2	8893.15	9002.15
P15529	12856.3	6899.79	12020.6	13970.7	13430.3	13042
P15531	1108410	954213	1262440	1131880	1444840	1423800
P15559	6215.5	7261.08	7100.18	6494.44	6077.3	4844.95
P15565	121527	115086	42144.6	45995.6	11510.8	11305.5
P15586	64365	66392.6	74167.2	70461.3	77033.2	78424.2
P15624	826921	826922	363714	355553	88389.7	79288.9
P15625	366424	347752	151930	151775	38451	35461.9
P15646	340479	299351	148323	137750	31725.4	32249.5
P15700	1550410	1642030	642229	714630	224131	219566
P15703	69137.7	62582.5	31798.5	28608.9	8730.62	7755.46
P15705	384395	377353	180198	175070	39082	37273.1
P15731	479216	447021	169303	168257	31656	28737.4
P15735	26069	21708.6	24503.5	28336.2	21461.8	25120.8
P15790	53119.5	49996.7	19467.2	22003.4	6803.48	7062.77
P15807	795.91	773.843				
P15822	12026.5	8921.84	7225.92	8216.73	7553.62	7507.54
P15848	2190.16	4716.27	4698.01	2881.62	3646.05	3415.06
P15873	239663	251033	104110	102339	21990.3	19567
P15880	561511	526411	628613	603596	569387	557175
P15882	20479	17901.2	16344.8	16162.1	15007.7	16610.2
P15891	330531	329040	147183	155511	37134.2	32110.3
P15924	37705.2	35512.7	37680.3	39086.1	39256.7	39430.8
P15927	232633	218509	265667	266034	231578	258562
P15992	17462.7	17577.8	10195.2	9625.02	3023.43	3163.05
P16083	33001.6	25666.8	28482.9	19401.2	21292.8	20413.5
P16104	275901	131308	459079	525537	239289	232539
P16120	313507	318407	131780	131753	31467.7	30237.3
P16140	2598920	2431190	1138160	1157090	256831	256907
P16152	284939	280415	332950	316203	273973	277647
P16157	3995.36	2392.51	3441.7	3805.67	3304.33	3412.81
P16219	15500.3	12461.4	14019.7	16081.2	18177.8	18579.7
P16220	17307.2	14162.4	17175.6	14962.6	15327.3	15006.3
P16278	62088.9	60387.7	65015.9	64747.6	67254.4	64333.3
P16298	47705.9	36456.8	59282.5	56982.3	50046.1	47972.6
P16333	27150.5	30465.1	35107.5	31823.3	30910.1	34302.4
P16370	57716.4	44023.8	28956	25429.4	7042.77	7672.84
P16383	63990.7	59350.2	74442.4	81533	78927.3	82377.6
P16387	442297	405637	195693	203470	39773.7	35734.3
P16401	3150.56					5381
P16403						1132.12
P16435	44924.8	41581	46454.7	46041.3	44756.1	47989.8
P16451	40789.4	46085	19189.7	16271.7	4137.63	3465.69
P16467	3582540	3636700	1628420	1542430	381429	450447
P16474	2248410	2299520	1062590	1044610	257777	264702
P16520	100595	102667	101341	101902	61277.5	49637.5
P16521	2846670	2690640	1325150	1263480	288481	285691
P16547	6282.25	6245.9	3043.14	4455.81		927.575
P16550	239947	244387	103267	108216	22436.8	22716.2
P16591	20983.7	19543.1	14038.4	19061.3	21302.5	22292.1
P16603	191286	189544	78750.3	77282	18366	18359.9
P16615	79808.6	78118.6	98792.3	92768	77563.5	80382.2
P16622	48266.9	45870.9	21123.5	21123	6040.49	6566.68
P16639	4923.63	5071.31	3694.93	4028.97		
P16649	96815.1	91367.5	45139.4	42464.1	10389.5	11531.5
P16661	6646.16	4284.19	2653.91	1798.57		315.06
P16861	797322	805864	363719	347907	76185.9	80187.7
P16862	966770	876460	408735	410343	102642	102140
P16870	6314.04	7363.49	5734.93	4077.78	7123.37	6531.96
P16885	17650.4	19337.8	19313.9	18074	17293.3	17641.9
P16930	42849.3	40111.9	50364.4	51403.4	41604.9	44767.4
P16949	787921	744832	972511	907606	776012	750463
P16965	1744.25	1934.19	1168.96		2348.31	
P16989	141007	118782	161731	158493	185648	173011
P17026	6580.09	6379.42	6964.73	9691.18	9880.36	13566.5
P17028	18532.3	17086	23300.2	22530	21675.4	21875.1
P17029	4242.86	3340.4	2100.41	3707.08	4821.55	3588.92
P17065	7408.23	4596.7	2791.06	4031	5566.72	
P17066	1080760	797324	1156990	1116850	602045	750955
P17076	166392	166386	79845.5	79372.2	28442.6	18511
P17096	37315.4	36687.8	43732.7	37718.3	39480.6	24355.5
P17097	5673.98		2710.36	2628.92	1325.39	1794.31
P17098	9280.95	7757.42	8890.83	10494.3	7944.02	9479.29
P17106	32821.2	31046.3	14214.7	14924.5	3553.49	4225.82
P17121	3483.48	2928.16	1345.99	2293.99		817.301
